ts,pm25,pm10
2021-05-05T20:34:27.259446,7.9,40.6
2021-05-05T20:34:32.364540,7.9,40.7
2021-05-05T20:34:37.476455,7.9,39.6
2021-05-05T20:34:42.592116,7.7,41.1
2021-05-05T20:34:47.701821,7.7,39.6
