ts,pm25,pm10
2021-05-05T20:13:11.215191,0.8,3.2
2021-05-05T20:13:16.318078,0.8,3.0
2021-05-05T20:13:21.421091,0.8,2.8
2021-05-05T20:13:26.525352,0.8,2.8
