ts,pm25,pm10
2021-05-05T20:14:20.397818,1.3,8.6
2021-05-05T20:14:25.505434,1.5,13.8
2021-05-05T20:14:30.612850,1.8,19.9
2021-05-05T20:14:35.719179,2.3,24.4
2021-05-05T20:14:40.823658,2.6,27.2
2021-05-05T20:14:45.927567,3.3,31.0
2021-05-05T20:14:51.033717,3.4,35.1
